name,group,type,category,valuetype,default,min,max
min-wealth,parameter,global,wealth,numeric,30,NA,NA
time-horizon,parameter,global,capital,numeric,10,NA,NA
discount-rate,parameter,global,capital,numeric,0.1,NA,NA
land_price,parameter,global,capital,numeric,750,NA,NA
external_income,parameter,global,capital,numeric,500,NA,NA
rent_rate_capital_lend,parameter,global,capital,numeric,0.08,NA,NA
rent_rate_capital_borrow,parameter,global,capital,numeric,0.15,NA,NA
rent_rate_land,parameter,global,capital,numeric,0.1,NA,NA
carbon_ncinv,parameter,global,carbon_ncinv,string,"""ncinv-carbon""",NA,NA
sensitivity?,parameter,global,sensitivity,boolean,FALSE,NA,NA
c_forest-agb,parameter,hardcoded,carbon_ncinv,numeric,89.4,NA,NA
c_forest-bgb,parameter,hardcoded,carbon_ncinv,numeric,44.7,NA,NA
c_forest-soc,parameter,hardcoded,carbon_ncinv,numeric,128.79,NA,NA
c_forest-dead,parameter,hardcoded,carbon_ncinv,numeric,18.123,NA,NA
c_lut-0-agb,parameter,hardcoded,carbon_ncinv,numeric,49.01,NA,NA
c_lut-0-bgb,parameter,hardcoded,carbon_ncinv,numeric,24.51,NA,NA
c_lut-0-soc,parameter,hardcoded,carbon_ncinv,numeric,121.55,NA,NA
c_lut-0-dead,parameter,hardcoded,carbon_ncinv,numeric,3.18,NA,NA
c_lut-1-agb,parameter,hardcoded,carbon_ncinv,numeric,37.57,NA,NA
c_lut-1-bgb,parameter,hardcoded,carbon_ncinv,numeric,18.79,NA,NA
c_lut-1-soc,parameter,hardcoded,carbon_ncinv,numeric,124.35,NA,NA
c_lut-1-dead,parameter,hardcoded,carbon_ncinv,numeric,4.52,NA,NA
ecol_biodiv_interval,parameter,global,biodiversity,numeric,1,NA,NA
biodiv_ncinv,parameter,global,biodiversity,string,"""habitatquality""",NA,NA
ncinv_experiment,parameter,global,biodiversity,string,"""exp1""",NA,NA
ncinv_test,parameter,global,biodiversity,string,"""test1""",NA,NA
biodiv_ncinv_k,parameter,global,biodiversity,numeric,0.05,NA,NA
hq_lut-0-max-dist,parameter,hardcoded,biodiversity,numeric,0.1,NA,NA
hq_lut-1-max-dist,parameter,hardcoded,biodiversity,numeric,0.1,NA,NA
hq_lut-0-weight,parameter,hardcoded,biodiversity,numeric,10,NA,NA
hq_lut-1-weight,parameter,hardcoded,biodiversity,numeric,1,NA,NA
hq_lut-0-sens-lut-0,parameter,hardcoded,biodiversity,numeric,1,NA,NA
hq_lut-0-sens-lut-1,parameter,hardcoded,biodiversity,numeric,0,NA,NA
hq_lut-1-sens-lut-0,parameter,hardcoded,biodiversity,numeric,1,NA,NA
hq_lut-1-sens-lut-1,parameter,hardcoded,biodiversity,numeric,1,NA,NA
biodiv_birds,parameter,global,birdrichness,string,"""mahnken""",NA,NA
bird_spillover_effect,parameter,global,birdrichness,numeric,0.25,NA,NA
bird_intercept,parameter,hardcoded,birdrichness,numeric,2.078083,NA,NA
bird_pbeetle,parameter,hardcoded,birdrichness,numeric,0.027132,NA,NA
bird_pant,parameter,hardcoded,birdrichness,numeric,0.010402,NA,NA
bird_plud,parameter,hardcoded,birdrichness,numeric,0.476163,NA,NA
bird_pcanopy,parameter,hardcoded,birdrichness,numeric,2.20185,NA,NA
bc_r-intercept,parameter,hardcoded,biocontrol,numeric,0.307045,NA,NA
bc_r-pzmax,parameter,hardcoded,biocontrol,numeric,-0.051988,NA,NA
bc_r-prubber,parameter,hardcoded,biocontrol,numeric,0.006531,NA,NA
bc_r-pshdi,parameter,hardcoded,biocontrol,numeric,-0.675094,NA,NA
bc_op-intercept,parameter,hardcoded,biocontrol,numeric,0.761321,NA,NA
bc_op-pzmax,parameter,hardcoded,biocontrol,numeric,-0.114749,NA,NA
bc_op-prubber,parameter,hardcoded,biocontrol,numeric,0.005093,NA,NA
bc_op-pforest,parameter,hardcoded,biocontrol,numeric,-0.016152,NA,NA
bc_op-ped,parameter,hardcoded,biocontrol,numeric,-66.190439,NA,NA
bc_r-zmax-intercept,parameter,hardcoded,biocontrol,numeric,11.99827,NA,NA
bc_r-zmax-page,parameter,hardcoded,biocontrol,numeric,0.46252,NA,NA
bc_op-zmax-intercept,parameter,hardcoded,biocontrol,numeric,7.33052,NA,NA
bc_op-zmax-page,parameter,hardcoded,biocontrol,numeric,0.43109,NA,NA
hh_age_alpha,parameter,global,hhage,numeric,14.24,NA,NA
hh_age_lambda,parameter,global,hhage,numeric,0.31,NA,NA
hh_age_min,parameter,global,hhage,numeric,18,NA,NA
hh_age_max,parameter,global,hhage,numeric,80,NA,NA
age_generation,parameter,global,hhage,numeric,40,NA,NA
takeover_prob,parameter,global,hhage,numeric,0.5,NA,NA
write-maps?,parameter,global,output,boolean,FALSE,NA,NA
write-hh-data-to-file?,parameter,global,output,boolean,FALSE,NA,NA
export-view?,parameter,global,output,boolean,FALSE,NA,NA
show-homebases?,parameter,global,output,boolean,TRUE,NA,NA
show-roads?,parameter,global,output,boolean,TRUE,NA,NA
gr-reproducible?,parameter,global,LGRaf,boolean,TRUE,NA,NA
gr-rnd-seed,parameter,global,LGRaf,numeric,100,NA,NA
gr-width,parameter,global,LGRaf,numeric,100,NA,NA
gr-height,parameter,global,LGRaf,numeric,100,NA,NA
gr-cell-length-meter,parameter,global,LGRaf,numeric,50,NA,NA
gr-road.algorithm,parameter,global,LGRaf,string,"""real.shapefile""",NA,NA
gr-total-road-length,parameter,global,LGRaf,numeric,1099,NA,NA
gr-road-map-id,parameter,global,LGRaf,string,"""jambi1""",NA,NA
gr-min-dist-roads,parameter,global,LGRaf,numeric,5,NA,NA
gr-perlin-octaves,parameter,global,LGRaf,numeric,10,NA,NA
gr-perlin-persistence,parameter,global,LGRaf,numeric,0.8,NA,NA
gr-setup-model,parameter,global,LGRaf,string,"""number-of-households""",NA,NA
gr-number-of-households,parameter,global,LGRaf,numeric,100,NA,NA
gr-number-of-villages,parameter,global,LGRaf,numeric,12,NA,NA
gr-proportion-agricultural-area,parameter,global,LGRaf,numeric,0.3,NA,NA
gr-households-per-cell,parameter,global,LGRaf,numeric,1,NA,NA
gr-cone-angle,parameter,global,LGRaf,numeric,120,NA,NA
gr-dist-weight,parameter,global,LGRaf,numeric,0.6,NA,NA
gr-hh-area-distribution,parameter,global,LGRaf,string,"""log-normal""",NA,NA
gr-hh-area-mean-ha,parameter,global,LGRaf,numeric,1,NA,NA
gr-hh-area-sd-ha,parameter,global,LGRaf,numeric,0.92,NA,NA
gr-vlg-area-distribution,parameter,global,LGRaf,string,"""uniform""",NA,NA
gr-vlg-area-mean,parameter,global,LGRaf,numeric,68.17,NA,NA
gr-vlg-area-sd,parameter,global,LGRaf,numeric,56.73,NA,NA
gr-occ-probability,parameter,global,LGRaf,numeric,0,NA,NA
gr-hh-distribution,parameter,global,LGRaf,string,"""log-normal""",NA,NA
gr-hh-type-mean,parameter,global,LGRaf,numeric,0.56,NA,NA
gr-hh-type-sd,parameter,global,LGRaf,numeric,0.24,NA,NA
gr-inaccessible-area-location,parameter,global,LGRaf,string,"""random""",NA,NA
gr-inaccessible-area-distribution,parameter,global,LGRaf,string,"""normal""",NA,NA
gr-inaccessible-area-fraction,parameter,global,LGRaf,numeric,0,NA,NA
gr-inaccessible-area-mean,parameter,global,LGRaf,numeric,0.5,NA,NA
gr-inaccessible-area-sd,parameter,global,LGRaf,numeric,10,NA,NA
gr-field-size-distribution,parameter,global,LGRaf,string,"""log-normal""",NA,NA
gr-field-size-mean-ha,parameter,global,LGRaf,numeric,0.49,NA,NA
gr-field-size-sd-ha,parameter,global,LGRaf,numeric,0.77,NA,NA
gr-change-strategy,parameter,global,LGRaf,numeric,2,NA,NA
gr-s1.homebase,parameter,global,LGRaf,boolean,TRUE,NA,NA
gr-s2.fields,parameter,global,LGRaf,boolean,TRUE,NA,NA
gr-s3.nearby,parameter,global,LGRaf,boolean,TRUE,NA,NA
gr-s4.avoid,parameter,global,LGRaf,boolean,TRUE,NA,NA
gr-set-field-strategies-by-id?,parameter,global,LGRaf,boolean,FALSE,NA,NA
gr-field-strategies-id,parameter,global,LGRaf,numeric,7,NA,NA
gr-LUT-fill-up,parameter,global,LGRaf,string,"""LUT-1-fraction""",NA,NA
gr-land-use-types,parameter,global,LGRaf,string,"""household-level-specialization""",NA,NA
gr-LUT-0-fraction,parameter,global,LGRaf,numeric,0.5,NA,NA
gr-LUT-1-fraction,parameter,global,LGRaf,numeric,0.5,NA,NA
gr-LUT-2-fraction,parameter,global,LGRaf,numeric,0,NA,NA
gr-LUT-3-fraction,parameter,global,LGRaf,numeric,0,NA,NA
gr-LUT-4-fraction,parameter,global,LGRaf,numeric,0,NA,NA
gr-LUT-0-specialize,parameter,global,LGRaf,numeric,0,NA,NA
gr-LUT-1-specialize,parameter,global,LGRaf,numeric,0,NA,NA
gr-LUT-2-specialize,parameter,global,LGRaf,numeric,0,NA,NA
gr-LUT-3-specialize,parameter,global,LGRaf,numeric,0,NA,NA
gr-LUT-4-specialize,parameter,global,LGRaf,numeric,0,NA,NA
gr-default.maps,parameter,global,LGRaf,string,"""forestcluster""",NA,NA
gr-write-household-ids,parameter,global,LGRaf,string,"""layered-files""",NA,NA
lut0.carbon,variable,global,carbon,numeric,NA,NA,NA
lut1.carbon,variable,global,carbon,numeric,NA,NA,NA
landscape_soil_carbon,variable,global,carbon_ncinv,numeric,NA,NA,NA
landscape_dead_carbon,variable,global,carbon_ncinv,numeric,NA,NA,NA
lut0.price,variable,global,prices,numeric,NA,NA,NA
lut1.price,variable,global,prices,numeric,NA,NA,NA
lut0.fraction,variable,global,landscape,numeric,NA,NA,NA
lut1.fraction,variable,global,landscape,numeric,NA,NA,NA
lut0.yield.sum,variable,global,production,numeric,NA,NA,NA
lut1.yield.sum,variable,global,production,numeric,NA,NA,NA
lut0.yield.mean,variable,global,production,numeric,NA,NA,NA
lut1.yield.mean,variable,global,production,numeric,NA,NA,NA
hh.count,variable,global,household,numeric,NA,NA,NA
hh.area.sum,variable,global,household,numeric,NA,NA,NA
hh.area.mean,variable,global,household,numeric,NA,NA,NA
hh.consumption.sum,variable,global,household,numeric,NA,NA,NA
hh.consumption.mean,variable,global,household,numeric,NA,NA,NA
hh.lut0.ineff.mean,variable,global,household,numeric,NA,NA,NA
hh.lut1.ineff.mean,variable,global,household,numeric,NA,NA,NA
abandoned.land,variable,global,landmarket,numeric,NA,NA,NA
lm.seller.wealth,variable,global,landmarket,numeric,NA,NA,NA
lm.buyer.wealth,variable,global,landmarket,numeric,NA,NA,NA
lm.seller.area,variable,global,landmarket,numeric,NA,NA,NA
lm.buyer.area,variable,global,landmarket,numeric,NA,NA,NA
lm.seller.lut0.ineff,variable,global,landmarket,numeric,NA,NA,NA
lm.buyer.lut0.ineff,variable,global,landmarket,numeric,NA,NA,NA
lm.seller.lut1.ineff,variable,global,landmarket,numeric,NA,NA,NA
lm.buyer.lut1.ineff,variable,global,landmarket,numeric,NA,NA,NA
hh.count.immigrant,variable,global,landmarket,numeric,NA,NA,NA
p.hq,variable,global,biodiversity,numeric,NA,NA,NA
p.tinput.sum,variable,global,production,numeric,NA,NA,NA
p.tinput.mean,variable,global,production,numeric,NA,NA,NA
p.capitalstock.sum,variable,global,production,numeric,NA,NA,NA
p.capitalstock.mean,variable,global,production,numeric,NA,NA,NA
p.biocontrol.mean,variable,global,biocontrol,numeric,NA,NA,NA
p.biocontrol.sd,variable,global,biocontrol,numeric,NA,NA,NA
p.biocontrol.rub,variable,global,biocontrol,numeric,NA,NA,NA
p.biocontrol.rub.sd,variable,global,biocontrol,numeric,NA,NA,NA
p.biocontrol.oil,variable,global,biocontrol,numeric,NA,NA,NA
p.biocontrol.oil.sd,variable,global,biocontrol,numeric,NA,NA,NA
p.zmax.mean,variable,global,biocontrol,numeric,NA,NA,NA
p.rubber_prop.mean,variable,global,biocontrol,numeric,NA,NA,NA
p.shdi.mean,variable,global,biocontrol,numeric,NA,NA,NA
p.forest_prop.mean,variable,global,biocontrol,numeric,NA,NA,NA
p.ed_prop.mean,variable,global,biocontrol,numeric,NA,NA,NA
p.bird.richness.max,variable,global,birdrichness,numeric,NA,NA,NA
p.bird.richness.min,variable,global,birdrichness,numeric,NA,NA,NA
p.bird.richness.mean,variable,global,birdrichness,numeric,NA,NA,NA
pxcor,variable,patches,landscape,numeric,NA,NA,NA
pycor,variable,patches,landscape,numeric,NA,NA,NA
pcolor,variable,patches,landscape,numeric,NA,NA,NA
p_landuse,variable,patches,landscape,numeric,NA,NA,NA
p_management,variable,patches,management,numeric,NA,NA,NA
p_road,variable,patches,landscape,numeric,NA,NA,NA
p_age,variable,patches,production,numeric,NA,NA,NA
p_fieldsize,variable,patches,landscape,numeric,NA,NA,NA
p_carbon,variable,patches,carbon,numeric,NA,NA,NA
p_carbon_soil,variable,patches,carbon_ncinv,numeric,NA,NA,NA
p_carbon_dead,variable,patches,carbon_ncinv,numeric,NA,NA,NA
p_owner,variable,patches,household,agent,NA,NA,NA
p_homebase,variable,patches,household,numeric,NA,NA,NA
p_production,variable,patches,production,numeric,NA,NA,NA
p_id,variable,patches,landscape,numeric,NA,NA,NA
p_labor,variable,patches,production,numeric,NA,NA,NA
p_tinput,variable,patches,production,numeric,NA,NA,NA
p_capitalstock,variable,patches,production,numeric,NA,NA,NA
p_invest,variable,patches,production,numeric,NA,NA,NA
p_actual_production,variable,patches,production,numeric,NA,NA,NA
p_optimal_production,variable,patches,production,numeric,NA,NA,NA
p_impact_ncinv,variable,patches,biodiversity,boolean,FALSE,NA,NA
p_landuse_ncinv,variable,patches,biodiversity,numeric,NA,NA,NA
p_hq_ncinv,variable,patches,biodiversity,numeric,NA,NA,NA
p_biocontrol,variable,patches,biocontrol,numeric,NA,NA,NA
who,variable,turtles,household,numeric,NA,NA,NA
h_homebase,variable,turtles,household,agent,NA,NA,NA
h_id,variable,turtles,household,numeric,NA,NA,NA
h_area,variable,turtles,household,numeric,NA,NA,NA
h_patches,variable,turtles,household,agentset,NA,NA,NA
h_field_id_list,variable,turtles,household,list,NA,NA,NA
h_wealth,variable,turtles,wealth,numeric,NA,NA,NA
h_debts,variable,turtles,wealth,numeric,NA,NA,NA
h_debt_years,variable,turtles,wealth,numeric,NA,NA,NA
h_capitalstock,variable,turtles,wealth,numeric,NA,NA,NA
h_exincome,variable,turtles,wealth,numeric,NA,NA,NA
h_netcashflow,variable,turtles,production,numeric,NA,NA,NA
h_netcashflow_exp,variable,turtles,production,numeric,NA,NA,NA
h_consumption,variable,turtles,consumption,numeric,NA,NA,NA
h_fixconsumption,variable,turtles,consumption,numeric,NA,NA,NA
h_varconsumption,variable,turtles,consumption,numeric,NA,NA,NA
h_cost_investment,variable,turtles,costs,numeric,NA,NA,NA
h_cost_labor,variable,turtles,costs,numeric,NA,NA,NA
h_cost_tinput,variable,turtles,costs,numeric,NA,NA,NA
h_cost_capital,variable,turtles,costs,numeric,NA,NA,NA
h_cost_land,variable,turtles,costs,numeric,NA,NA,NA
h_revenue,variable,turtles,production,numeric,NA,NA,NA
h_production,variable,turtles,production,numeric,NA,NA,NA
h_inefficiencies,variable,turtles,inefficiency,list,NA,NA,NA
h_management,variable,turtles,management,list,NA,NA,NA
h_land-use-change,variable,turtles,production,list,NA,NA,NA
h_connected_hhs,variable,turtles,inefficiency,agentset,NA,NA,NA
